,datetime,load
48140,17-05-2019 11:00,1405.4951
48141,17-05-2019 11:15,1414.4058
48142,17-05-2019 11:30,1425.286
48143,17-05-2019 11:45,1437.7963
48144,17-05-2019 12:00,1450.9484
48145,17-05-2019 12:15,1464.1094
48146,17-05-2019 12:30,1476.0842
48147,17-05-2019 12:45,1485.6624
48148,17-05-2019 13:00,1492.2286
48149,17-05-2019 13:15,1496.1578
48150,17-05-2019 13:30,1498.7362
48151,17-05-2019 13:45,1497.9078
48152,17-05-2019 14:00,1489.5769
48153,17-05-2019 14:15,1475.6552
48154,17-05-2019 14:30,1464.0026
48155,17-05-2019 14:45,1456.1775
48156,17-05-2019 15:00,1451.7874
48157,17-05-2019 15:15,1451.0967
48158,17-05-2019 15:30,1454.3563
48159,17-05-2019 15:45,1460.1171
48160,17-05-2019 16:00,1467.1836
48161,17-05-2019 16:15,1474.864
48162,17-05-2019 16:30,1483.4119
48163,17-05-2019 16:45,1492.6449
48164,17-05-2019 17:00,1502.5588
48165,17-05-2019 17:15,1512.9136
48166,17-05-2019 17:30,1520.75
48167,17-05-2019 17:45,1526.4338
48168,17-05-2019 18:00,1530.5264
48169,17-05-2019 18:15,1533.7528
48170,17-05-2019 18:30,1536.198
48171,17-05-2019 18:45,1538.1372
48172,17-05-2019 19:00,1539.6267
48173,17-05-2019 19:15,1540.6794
48174,17-05-2019 19:30,1541.4205
48175,17-05-2019 19:45,1541.5096
48176,17-05-2019 20:00,1540.2185
48177,17-05-2019 20:15,1536.9408
48178,17-05-2019 20:30,1533.9778
48179,17-05-2019 20:45,1531.2908
48180,17-05-2019 21:00,1529.319
48181,17-05-2019 21:15,1529.1344
48182,17-05-2019 21:30,1528.4243
48183,17-05-2019 21:45,1527.4746
48184,17-05-2019 22:00,1526.6741
48185,17-05-2019 22:15,1526.4504
48186,17-05-2019 22:30,1526.1027
48187,17-05-2019 22:45,1525.6985
48188,17-05-2019 23:00,1525.3412
48189,17-05-2019 23:15,1523.0037
48190,17-05-2019 23:30,1521.2294
48191,17-05-2019 23:45,1517.6198
48192,18-05-2019 00:00,1513.5287
48193,18-05-2019 00:15,1509.4915
48194,18-05-2019 00:30,1504.9587
48195,18-05-2019 00:45,1499.863
48196,18-05-2019 01:00,1494.0477
48197,18-05-2019 01:15,1487.2516
48198,18-05-2019 01:30,1479.7749
48199,18-05-2019 01:45,1471.7294
48200,18-05-2019 02:00,1463.2083
48201,18-05-2019 02:15,1454.3118
48202,18-05-2019 02:30,1444.8687
48203,18-05-2019 02:45,1434.671
48204,18-05-2019 03:00,1423.4526
48205,18-05-2019 03:15,1410.9188
48206,18-05-2019 03:30,1397.8639
48207,18-05-2019 03:45,1384.8479
48208,18-05-2019 04:00,1372.4645
48209,18-05-2019 04:15,1361.3289
48210,18-05-2019 04:30,1351.3408
48211,18-05-2019 04:45,1342.6237
48212,18-05-2019 05:00,1335.2396
48213,18-05-2019 05:15,1329.3506
48214,18-05-2019 05:30,1325.2908
48215,18-05-2019 05:45,1323.4181
48216,18-05-2019 06:00,1324.0829
48217,18-05-2019 06:15,1327.4965
48218,18-05-2019 06:30,1334.4159
48219,18-05-2019 06:45,1345.1433
48220,18-05-2019 07:00,1359.7256
48221,18-05-2019 07:15,1378.2745
48222,18-05-2019 07:30,1398.7638
48223,18-05-2019 07:45,1420.4551
48224,18-05-2019 08:00,1442.0514
48225,18-05-2019 08:15,1462.4021
48226,18-05-2019 08:30,1481.3192
48227,18-05-2019 08:45,1498.9365
48228,18-05-2019 09:00,1515.7207
48229,18-05-2019 09:15,1532.2753
48230,18-05-2019 09:30,1549.5364
48231,18-05-2019 09:45,1568.0028
48232,18-05-2019 10:00,1587.7295
48233,18-05-2019 10:15,1608.3243
48234,18-05-2019 10:30,1629.1492
48235,18-05-2019 10:45,1649.8953
48236,18-05-2019 11:00,1670.3673
48237,18-05-2019 11:15,1690.2906
48238,18-05-2019 11:30,1709.6937
48239,18-05-2019 11:45,1728.8691
48240,18-05-2019 12:00,1748.0217
48241,18-05-2019 12:15,1767.089
48242,18-05-2019 12:30,1785.7139
48243,18-05-2019 12:45,1803.4344
48244,18-05-2019 13:00,1819.6594
48245,18-05-2019 13:15,1833.9076
48246,18-05-2019 13:30,1846.6335
48247,18-05-2019 13:45,1857.3896
48248,18-05-2019 14:00,1866.0676
48249,18-05-2019 14:15,1873.0023
48250,18-05-2019 14:30,1877.0063
48251,18-05-2019 14:45,1878.3461
48252,18-05-2019 15:00,1877.3354
48253,18-05-2019 15:15,1874.0945
48254,18-05-2019 15:30,1868.7097
48255,18-05-2019 15:45,1861.4702
48256,18-05-2019 16:00,1852.4423
48257,18-05-2019 16:15,1841.178
48258,18-05-2019 16:30,1827.2677
48259,18-05-2019 16:45,1811.4388
48260,18-05-2019 17:00,1794.6726
48261,18-05-2019 17:15,1778.4412
48262,18-05-2019 17:30,1765.0948
48263,18-05-2019 17:45,1754.366
48264,18-05-2019 18:00,1745.9003
48265,18-05-2019 18:15,1739.4281
48266,18-05-2019 18:30,1734.8755
48267,18-05-2019 18:45,1732.3081
48268,18-05-2019 19:00,1732.0121
48269,18-05-2019 19:15,1734.421
48270,18-05-2019 19:30,1739.7217
48271,18-05-2019 19:45,1748.2894
48272,18-05-2019 20:00,1760.0348
48273,18-05-2019 20:15,1774.4762
48274,18-05-2019 20:30,1791.0177
48275,18-05-2019 20:45,1809.1666
48276,18-05-2019 21:00,1828.3983
48277,18-05-2019 21:15,1847.9749
48278,18-05-2019 21:30,1867.2064
48279,18-05-2019 21:45,1885.3685
48280,18-05-2019 22:00,1901.5938
48281,18-05-2019 22:15,1914.8564
48282,18-05-2019 22:30,1923.7432
48283,18-05-2019 22:45,1926.997
48284,18-05-2019 23:00,1924.2614
48285,18-05-2019 23:15,1916.1846
48286,18-05-2019 23:30,1899.9551
48287,18-05-2019 23:45,1874.6736
48288,19-05-2019 00:00,1842.1046
48289,19-05-2019 00:15,1808.4547
48290,19-05-2019 00:30,1773.191
48291,19-05-2019 00:45,1737.8928
48292,19-05-2019 01:00,1703.6166
48293,19-05-2019 01:15,1671.1049
48294,19-05-2019 01:30,1641.7026
48295,19-05-2019 01:45,1615.5963
48296,19-05-2019 02:00,1592.5522
48297,19-05-2019 02:15,1571.9968
48298,19-05-2019 02:30,1553.0559
48299,19-05-2019 02:45,1535.1633
48300,19-05-2019 03:00,1518.0011
48301,19-05-2019 03:15,1501.4495
48302,19-05-2019 03:30,1485.3275
48303,19-05-2019 03:45,1469.5183
48304,19-05-2019 04:00,1453.9371
48305,19-05-2019 04:15,1438.5878
48306,19-05-2019 04:30,1423.7501
48307,19-05-2019 04:45,1409.7325
48308,19-05-2019 05:00,1396.806
48309,19-05-2019 05:15,1385.06
48310,19-05-2019 05:30,1374.3708
48311,19-05-2019 05:45,1364.5292
48312,19-05-2019 06:00,1355.4137
48313,19-05-2019 06:15,1347.0388
48314,19-05-2019 06:30,1339.3938
48315,19-05-2019 06:45,1332.8188
48316,19-05-2019 07:00,1327.7107
48317,19-05-2019 07:15,1324.4474
48318,19-05-2019 07:30,1323.5953
48319,19-05-2019 07:45,1325.6451
48320,19-05-2019 08:00,1330.8464
48321,19-05-2019 08:15,1339.1085
48322,19-05-2019 08:30,1350.1731
48323,19-05-2019 08:45,1363.5411
48324,19-05-2019 09:00,1378.3363
